run,modelname,treatname,angle,spd,from,to,centerfreq,value
20120521164435,noisefloor,no,0,0,U,U,0.015625,9.23692888483e-08
20120521164435,noisefloor,no,0,0,U,U,0.03125,2.25626161282e-07
20120521164435,noisefloor,no,0,0,U,U,0.0625,5.68035206164e-07
20120521164435,noisefloor,no,0,0,U,U,0.125,6.44695094503e-07
20120521164435,noisefloor,no,0,0,U,U,0.25,3.96397245326e-07
20120521164435,noisefloor,no,0,0,U,U,0.5,5.03258577797e-07
20120521164435,noisefloor,no,0,0,U,U,1.0,6.73034707873e-07
20120521164435,noisefloor,no,0,0,U,U,2.0,1.57654268509e-06
20120521164435,noisefloor,no,0,0,U,U,4.0,2.56371723026e-06
20120521164435,noisefloor,no,0,0,U,U,8.0,4.94936197649e-06
20120521164435,noisefloor,no,0,0,U,U,16.0,5.70146291713e-06
20120521164435,noisefloor,no,0,0,U,U,32.0,1.17898405972e-06
20120521164435,noisefloor,no,0,0,U,U,64.0,1.06040586414e-06
20120521164435,noisefloor,no,0,0,U,U,128.0,4.89797944428e-07
20120521164435,noisefloor,no,0,0,V,V,0.015625,5.59120346973e-07
20120521164435,noisefloor,no,0,0,V,V,0.03125,1.35906078484e-06
20120521164435,noisefloor,no,0,0,V,V,0.0625,3.42001395965e-06
20120521164435,noisefloor,no,0,0,V,V,0.125,4.19425408135e-06
20120521164435,noisefloor,no,0,0,V,V,0.25,1.84040794443e-06
20120521164435,noisefloor,no,0,0,V,V,0.5,1.09983468241e-06
20120521164435,noisefloor,no,0,0,V,V,1.0,1.71704501537e-06
20120521164435,noisefloor,no,0,0,V,V,2.0,2.63179025499e-06
20120521164435,noisefloor,no,0,0,V,V,4.0,4.51071695113e-06
20120521164435,noisefloor,no,0,0,V,V,8.0,8.29065318483e-06
20120521164435,noisefloor,no,0,0,V,V,16.0,9.07953236669e-06
20120521164435,noisefloor,no,0,0,V,V,32.0,1.99416489861e-06
20120521164435,noisefloor,no,0,0,V,V,64.0,1.62728411193e-06
20120521164435,noisefloor,no,0,0,V,V,128.0,8.73303389467e-07
20120521164435,noisefloor,no,0,0,W,W,0.015625,1.12847737502e-08
20120521164435,noisefloor,no,0,0,W,W,0.03125,2.90548833033e-08
20120521164435,noisefloor,no,0,0,W,W,0.0625,7.80091835485e-08
20120521164435,noisefloor,no,0,0,W,W,0.125,1.15850735901e-07
20120521164435,noisefloor,no,0,0,W,W,0.25,1.04436076298e-07
20120521164435,noisefloor,no,0,0,W,W,0.5,1.85070183119e-07
20120521164435,noisefloor,no,0,0,W,W,1.0,2.80754275288e-07
20120521164435,noisefloor,no,0,0,W,W,2.0,7.77514947046e-07
20120521164435,noisefloor,no,0,0,W,W,4.0,1.13819636405e-06
20120521164435,noisefloor,no,0,0,W,W,8.0,1.99095211143e-06
20120521164435,noisefloor,no,0,0,W,W,16.0,2.1283160049e-06
20120521164435,noisefloor,no,0,0,W,W,32.0,3.82409244528e-07
20120521164435,noisefloor,no,0,0,W,W,64.0,3.65633719506e-07
20120521164435,noisefloor,no,0,0,W,W,128.0,1.91969621236e-07
20120521164435,noisefloor,no,0,0,U,U,0.015625,9.23692888483e-08
20120521164435,noisefloor,no,0,0,U,U,0.03125,2.25626161282e-07
20120521164435,noisefloor,no,0,0,U,U,0.0625,5.68035206164e-07
20120521164435,noisefloor,no,0,0,U,U,0.125,6.44695094503e-07
20120521164435,noisefloor,no,0,0,U,U,0.25,3.96397245326e-07
20120521164435,noisefloor,no,0,0,U,U,0.5,5.03258577797e-07
20120521164435,noisefloor,no,0,0,U,U,1.0,6.73034707873e-07
20120521164435,noisefloor,no,0,0,U,U,2.0,1.57654268509e-06
20120521164435,noisefloor,no,0,0,U,U,4.0,2.56371723026e-06
20120521164435,noisefloor,no,0,0,U,U,8.0,4.94936197649e-06
20120521164435,noisefloor,no,0,0,U,U,16.0,5.70146291713e-06
20120521164435,noisefloor,no,0,0,U,U,32.0,1.17898405972e-06
20120521164435,noisefloor,no,0,0,U,U,64.0,1.06040586414e-06
20120521164435,noisefloor,no,0,0,U,U,128.0,4.89797944428e-07
20120521164435,noisefloor,no,0,0,V,V,0.015625,5.59120346973e-07
20120521164435,noisefloor,no,0,0,V,V,0.03125,1.35906078484e-06
20120521164435,noisefloor,no,0,0,V,V,0.0625,3.42001395965e-06
20120521164435,noisefloor,no,0,0,V,V,0.125,4.19425408135e-06
20120521164435,noisefloor,no,0,0,V,V,0.25,1.84040794443e-06
20120521164435,noisefloor,no,0,0,V,V,0.5,1.09983468241e-06
20120521164435,noisefloor,no,0,0,V,V,1.0,1.71704501537e-06
20120521164435,noisefloor,no,0,0,V,V,2.0,2.63179025499e-06
20120521164435,noisefloor,no,0,0,V,V,4.0,4.51071695113e-06
20120521164435,noisefloor,no,0,0,V,V,8.0,8.29065318483e-06
20120521164435,noisefloor,no,0,0,V,V,16.0,9.07953236669e-06
20120521164435,noisefloor,no,0,0,V,V,32.0,1.99416489861e-06
20120521164435,noisefloor,no,0,0,V,V,64.0,1.62728411193e-06
20120521164435,noisefloor,no,0,0,V,V,128.0,8.73303389467e-07
20120521164435,noisefloor,no,0,0,W,W,0.015625,1.12847737502e-08
20120521164435,noisefloor,no,0,0,W,W,0.03125,2.90548833033e-08
20120521164435,noisefloor,no,0,0,W,W,0.0625,7.80091835485e-08
20120521164435,noisefloor,no,0,0,W,W,0.125,1.15850735901e-07
20120521164435,noisefloor,no,0,0,W,W,0.25,1.04436076298e-07
20120521164435,noisefloor,no,0,0,W,W,0.5,1.85070183119e-07
20120521164435,noisefloor,no,0,0,W,W,1.0,2.80754275288e-07
20120521164435,noisefloor,no,0,0,W,W,2.0,7.77514947046e-07
20120521164435,noisefloor,no,0,0,W,W,4.0,1.13819636405e-06
20120521164435,noisefloor,no,0,0,W,W,8.0,1.99095211143e-06
20120521164435,noisefloor,no,0,0,W,W,16.0,2.1283160049e-06
20120521164435,noisefloor,no,0,0,W,W,32.0,3.82409244528e-07
20120521164435,noisefloor,no,0,0,W,W,64.0,3.65633719506e-07
20120521164435,noisefloor,no,0,0,W,W,128.0,1.91969621236e-07
