series,modelname,length,width,plan.area,AR,frontal.area,lateral.offset
new,rect1,0.07,0.07,0.0049,1,0.00021,0.0015
new,rect2,0.099,0.0495,0.0049005,2,0.0001485,0.0015
new,rect4,0.141,0.0345,0.0048645,4.0869565217,0.0001035,0.0015
new,rect6,0.1725,0.0283,0.00488175,6.0954063604,0.0000849,0.0015
new,rect8,0.1995,0.025,0.0049875,7.98,0.000075,0.0015
solid,pong1,0.04,0.04,0.0012566371,1,0.0012566371,0.0095
solid,pong2,0.056496,0.028248,0.0012534161,2,0.0006267081,0.003642
solid,pong4,0.08,0.02,0.0012566371,4,0.0003141593,0
solid,pong6,0.0979795897,0.0163299316,0.0012566371,6,0.0002094395,0
solid,pong8,0.113137085,0.0141421356,0.0012566371,8.0000000014,0.0001570796,0
solid,pong2A,0.08,0.04,0.0012566371,2,0.0012566371,0.0095
solid,pong4A,0.16,0.04,0.0012566371,4,0.0012566371,0.0095
bird,larus,0.070359,0.193109,0.00499989,0.3643486321,0.000579327,0.0015
bird,microraptor,0.164326,0.145322,0.00499971,5.4009201086,0.000435966,0.0015
fish,onchorhynchus,0.165006,0.065026,0.004999,2.5375388306,0.000195078,0.0015
fish,chaetodon,0.102852,0.079024,0.00499992,1.3015286495,0.000237072,0.0015
fish,hippocampus,0.061413,0.130336,0.00499991,0.4711898478,0.000391008,0.0015
new,rect290,0.0495,0.099,0.0049005,0.5,0.000297,0.0015
new,rect490,0.0345,0.141,0.0048645,0.2446808511,0.000423,0.0015
new,rect690,0.0283,0.1725,0.00488175,0.164057971,0.0005175,0.0015
new,rect890,0.025,0.1995,0.0049875,0.1253132832,0.0005985,0.0015
solid,pong290,0.028248,0.056496,0.0012534161,0.5,0.0006267081,0.003642
solid,pong490,0.02,0.08,0.0012566371,0.25,0.0003141593,0
solid,pong690,0.0163299316,0.0979795897,0.0012566371,0.1666666667,0.0002094395,0
solid,pong890,0.0141421356,0.113137085,0.0012566371,0.125,0.0001570796,0
