series,model,length,width,plan.area,AR,frontal.area,lateral.offset
new,rect1,0.07,0.07,0.0049,1,NA,0
new,rect2,0.099,0.0495,0.0049005,2,NA,0
new,rect4,0.141,0.0345,0.0048645,4.0869565217,NA,0
new,rect6,0.1725,0.0283,0.00488175,6.0954063604,NA,0
new,rect8,0.1995,0.025,0.0049875,7.98,NA,0
old,csquare,0.0762,0.0762,0.00580644,1,NA,0
old,cmid,0.1,0.0762,0.00762,1.312335958,NA,0
old,clong,0.151,0.0762,0.0115062,1.9816272966,NA,0
old,cell1,0.0762,0.0762,0.0045603673,1,NA,0
old,cell13,0.1,0.0762,0.005984734,1.312335958,NA,0
old,cell2,0.15,0.0762,0.008977101,1.968503937,NA,0
solid,pong1,0.04,0.04,0.0012566371,1,0.0012566371,0.0095
solid,pong2,0.056496,0.028248,0.0012534161,2,0.0006267081,0.003642
solid,pong4,0.08,0.02,0.0012566371,4,0.0003141593,0
solid,pong6,0.0979795897,0.0163299316,0.0012566371,6,0.0002094395,0
solid,pong8,0.113137085,0.0141421356,0.0012566371,8.0000000014,0.0001570796,0
solid,pong2A,0.08,0.04,0.0012566371,2,0.0012566371,0.0095
solid,pong4A,0.16,0.04,0.0012566371,4,0.0012566371,0.0095
bird,gull,0.070359,0.193109,0.00499989,0.3643486321,NA,0
bird,microraptor,0.164326,0.145322,0.00499971,5.4009201086,NA,0
fish,salmon,0.165006,0.065026,0.004999,2.5375388306,NA,0
fish,butterflyfish,0.102852,0.079024,0.00499992,1.3015286495,NA,0
fish,seahorse,0.061413,0.130336,0.00499991,0.4711898478,NA,0
